Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,0.00048470497131347656,12,S
data_kSAT_hberens.cnf,0.0004305839538574219,12,S
data_kSAT_hberens.cnf,0.0005316734313964844,12,S
data_kSAT_hberens.cnf,0.00029587745666503906,12,S
data_kSAT_hberens.cnf,0.0003161430358886719,12,S
data_kSAT_hberens.cnf,0.0004978179931640625,12,S
data_kSAT_hberens.cnf,0.0007257461547851562,16,S
data_kSAT_hberens.cnf,0.0014290809631347656,16,S
data_kSAT_hberens.cnf,0.0014979839324951172,16,S
data_kSAT_hberens.cnf,0.0006575584411621094,16,S
data_kSAT_hberens.cnf,0.0030775070190429688,16,S
data_kSAT_hberens.cnf,0.0010700225830078125,16,S
data_kSAT_hberens.cnf,0.001980304718017578,16,S
data_kSAT_hberens.cnf,0.0005011558532714844,16,S
data_kSAT_hberens.cnf,0.000720977783203125,16,S
data_kSAT_hberens.cnf,0.0004985332489013672,16,S
data_kSAT_hberens.cnf,0.0009667873382568359,18,S
data_kSAT_hberens.cnf,0.0008087158203125,18,S
data_kSAT_hberens.cnf,0.0006976127624511719,18,S
data_kSAT_hberens.cnf,0.0017943382263183594,18,S
data_kSAT_hberens.cnf,0.0006690025329589844,18,S
data_kSAT_hberens.cnf,0.001287698745727539,18,S
data_kSAT_hberens.cnf,0.0006983280181884766,18,S
data_kSAT_hberens.cnf,0.0008924007415771484,18,S
data_kSAT_hberens.cnf,0.0011172294616699219,18,S
data_kSAT_hberens.cnf,0.0020101070404052734,18,S
data_kSAT_hberens.cnf,0.0017018318176269531,20,S
data_kSAT_hberens.cnf,0.001867532730102539,20,S
data_kSAT_hberens.cnf,0.0007860660552978516,20,S
data_kSAT_hberens.cnf,0.002074003219604492,20,S
data_kSAT_hberens.cnf,0.0008578300476074219,20,S
data_kSAT_hberens.cnf,0.0037164688110351562,20,S
data_kSAT_hberens.cnf,0.0013730525970458984,20,S
data_kSAT_hberens.cnf,0.003777742385864258,20,S
data_kSAT_hberens.cnf,0.0044002532958984375,20,S
data_kSAT_hberens.cnf,0.009254932403564453,20,S
data_kSAT_hberens.cnf,0.003222942352294922,22,S
data_kSAT_hberens.cnf,0.0070018768310546875,22,S
data_kSAT_hberens.cnf,0.0031397342681884766,22,S
data_kSAT_hberens.cnf,0.0010874271392822266,22,S
